id,dock.id,dock.name,ship.name,route.nameroute,position.berth_letter,timetable.startdate,timetable.enddate,timetable.starttime,timetable.endtime,timetable.duration,changed_schedule.ship_name,changed_schedule.type,schedule_start,schedule_end,arrival_time,departure_time,latitude,longitude,hour,distance_km
843839,32,Нескучный сад,Чижик-II,Исторический,C,1725310800,1731790800,16.0,20,4,,,9/3/2024,11/17/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
843899,32,Нескучный сад,,Исторический,C,1725310800,1725742800,16.0,20,4,Чижик-II,Отмена,9/3/2024,9/8/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
843971,32,Нескучный сад,,Исторический,C,1725915600,1726347600,16.0,20,4,Чижик-II,Отмена,9/10/2024,9/15/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844061,32,Нескучный сад,,Исторический,C,1726520400,1726952400,16.0,20,4,Чижик-II,Отмена,9/17/2024,9/22/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844133,32,Нескучный сад,,Исторический,C,1727125200,1727557200,16.0,20,4,Чижик-II,Отмена,9/24/2024,9/29/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844205,32,Нескучный сад,,Исторический,C,1727730000,1727989200,16.0,20,4,Чижик-II,Отмена,10/1/2024,10/4/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844291,32,Нескучный сад,,Исторический,C,1728075600,1728162000,16.0,20,4,Чижик-II,Отмена,10/5/2024,10/6/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844341,32,Нескучный сад,,Исторический,C,1728248400,1728594000,16.0,20,4,Чижик-II,Отмена,10/7/2024,10/11/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844425,32,Нескучный сад,,Исторический,C,1728680400,1728766800,16.0,20,4,Чижик-II,Отмена,10/12/2024,10/13/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844473,32,Нескучный сад,,Исторический,C,1728853200,1729198800,16.0,20,4,Чижик-II,Отмена,10/14/2024,10/18/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844557,32,Нескучный сад,,Исторический,C,1729285200,1729371600,16.0,20,4,Чижик-II,Отмена,10/19/2024,10/20/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844605,32,Нескучный сад,,Исторический,C,1729458000,1729803600,16.0,20,4,Чижик-II,Отмена,10/21/2024,10/25/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844689,32,Нескучный сад,,Исторический,C,1729890000,1729976400,16.0,20,4,Чижик-II,Отмена,10/26/2024,10/27/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
844737,32,Нескучный сад,,Исторический,C,1730062800,1730322000,16.0,20,4,Чижик-II,Отмена,10/28/2024,10/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846252,32,Нескучный сад,,Исторический,C,1720386000,1720904400,16.0,20,4,,,7/8/2024,7/14/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846324,32,Нескучный сад,,Исторический,C,1720990800,1721509200,16.0,20,4,,,7/15/2024,7/21/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846396,32,Нескучный сад,,Исторический,C,1721595600,1722114000,16.0,20,4,,,7/22/2024,7/28/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846468,32,Нескучный сад,,Исторический,C,1722200400,1722373200,16.0,20,4,,,7/29/2024,7/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846469,32,Нескучный сад,Чижик-II,Исторический,C,1722459600,1725051600,16.0,20,4,,,8/1/2024,8/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846540,32,Нескучный сад,,Исторический,C,1722459600,1722718800,16.0,20,4,Чижик-II,Отмена,8/1/2024,8/4/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846579,32,Нескучный сад,,Исторический,C,1722805200,1725051600,16.0,20,4,,,8/5/2024,8/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846585,32,Нескучный сад,,Исторический,C,1725138000,1725138000,16.0,20,4,Чижик-II,Отмена,9/1/2024,9/1/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846591,32,Нескучный сад,,Исторический,C,1725829200,1725829200,16.0,20,4,,,9/9/2024,9/9/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846651,32,Нескучный сад,,Исторический,C,1726434000,1726434000,16.0,20,4,,,9/16/2024,9/16/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846711,32,Нескучный сад,,Исторический,C,1727038800,1727038800,16.0,20,4,,,9/23/2024,9/23/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846771,32,Нескучный сад,,Исторический,C,1727643600,1727643600,16.0,20,4,,,9/30/2024,9/30/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
846960,32,Нескучный сад,Олимпиада,Исторический,C,1719954000,1719954000,16.0,20,4,,,7/3/2024,7/3/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847068,32,Нескучный сад,Олимпиада,Исторический,C,1720558800,1720558800,16.0,20,4,,,7/10/2024,7/10/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847176,32,Нескучный сад,Олимпиада,Исторический,C,1721163600,1721163600,16.0,20,4,,,7/17/2024,7/17/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847284,32,Нескучный сад,Олимпиада,Исторический,C,1721768400,1721768400,16.0,20,4,,,7/24/2024,7/24/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847359,32,Нескучный сад,Олимпиада,Исторический,C,1722373200,1722373200,16.0,20,4,,,7/31/2024,7/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847464,32,Нескучный сад,Олимпиада,Исторический,C,1722891600,1722891600,16.0,20,4,,,8/6/2024,8/6/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847613,32,Нескучный сад,,Исторический,C,1723410000,1723410000,16.0,20,4,,,8/12/2024,8/12/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847649,32,Нескучный сад,Олимпиада,Исторический,C,1723410000,1723410000,16.0,20,4,,,8/12/2024,8/12/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847685,32,Нескучный сад,Чижик-II,Исторический,C,1722805200,1722805200,16.0,20,4,,,8/5/2024,8/5/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847721,32,Нескучный сад,,Исторический,C,1722805200,1722805200,16.0,20,4,Чижик-II,Отмена,8/5/2024,8/5/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847865,32,Нескучный сад,,Исторический,C,1724014800,1724014800,16.0,20,4,,,8/19/2024,8/19/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
847901,32,Нескучный сад,Олимпиада,Исторический,C,1724014800,1724014800,16.0,20,4,,,8/19/2024,8/19/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848045,32,Нескучный сад,,Исторический,C,1724619600,1724619600,16.0,20,4,,,8/26/2024,8/26/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848081,32,Нескучный сад,Олимпиада,Исторический,C,1724619600,1724619600,16.0,20,4,,,8/26/2024,8/26/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848117,32,Нескучный сад,Олимпиада,Исторический,C,1725224400,1725224400,16.0,20,4,,,9/2/2024,9/2/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848153,32,Нескучный сад,Олимпиада,Исторический,C,1725829200,1725829200,16.0,20,4,,,9/9/2024,9/9/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848189,32,Нескучный сад,Олимпиада,Исторический,C,1726434000,1726434000,16.0,20,4,,,9/16/2024,9/16/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848225,32,Нескучный сад,Олимпиада,Исторический,C,1727038800,1727038800,16.0,20,4,,,9/23/2024,9/23/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848261,32,Нескучный сад,Олимпиада,Исторический,C,1727643600,1727643600,16.0,20,4,,,9/30/2024,9/30/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848363,32,Нескучный сад,Чижик-II,Исторический,C,1722978000,1723323600,16.0,20,4,,,8/7/2024,8/11/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848441,32,Нескучный сад,,Исторический,C,1722978000,1723323600,16.0,20,4,Чижик-II,Отмена,8/7/2024,8/11/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848518,32,Нескучный сад,Чижик-II,Исторический,C,1721250000,1721250000,16.0,20,4,,,7/18/2024,7/18/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848557,32,Нескучный сад,,Исторический,C,1721250000,1721250000,16.0,20,4,Чижик-II,Отмена,7/18/2024,7/18/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848763,32,Нескучный сад,Чижик-II,Исторический,C,1721336400,1721336400,16.0,20,4,,,7/19/2024,7/19/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848808,32,Нескучный сад,,Исторический,C,1721336400,1721336400,16.0,20,4,Чижик-II,Отмена,7/19/2024,7/19/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848874,32,Нескучный сад,Чижик-II,Исторический,C,1720040400,1720299600,16.0,20,4,,,7/4/2024,7/7/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848883,32,Нескучный сад,Чижик-II,Исторический,C,1721422800,1721422800,16.0,20,4,,,7/20/2024,7/20/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848994,32,Нескучный сад,,Исторический,C,1721422800,1721422800,16.0,20,4,Чижик-II,Отмена,7/20/2024,7/20/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
848998,32,Нескучный сад,,Исторический,C,1720126800,1720126800,16.0,20,4,Чижик-II,Отмена,7/5/2024,7/5/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849049,32,Нескучный сад,Чижик-II,Исторический,C,1720386000,1720472400,16.0,20,4,,,7/8/2024,7/9/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849052,32,Нескучный сад,Чижик-II,Исторический,C,1721509200,1721509200,16.0,20,4,,,7/21/2024,7/21/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849160,32,Нескучный сад,,Исторический,C,1721509200,1721509200,16.0,20,4,Чижик-II,Отмена,7/21/2024,7/21/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849193,32,Нескучный сад,,Исторический,C,1720386000,1720386000,16.0,20,4,Чижик-II,Отмена,7/8/2024,7/8/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849206,32,Нескучный сад,,Исторический,C,1720472400,1720472400,16.0,20,4,Чижик-II,Отмена,7/9/2024,7/9/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849276,32,Нескучный сад,Чижик-II,Исторический,C,1721595600,1721595600,16.0,20,4,,,7/22/2024,7/22/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849315,32,Нескучный сад,Чижик-II,Исторический,C,1720645200,1720904400,16.0,20,4,,,7/11/2024,7/14/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849354,32,Нескучный сад,,Исторический,C,1721595600,1721595600,16.0,20,4,Чижик-II,Отмена,7/22/2024,7/22/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849427,32,Нескучный сад,,Исторический,C,1720645200,1720645200,16.0,20,4,Чижик-II,Отмена,7/11/2024,7/11/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849436,32,Нескучный сад,,Исторический,C,1720731600,1720731600,16.0,20,4,Чижик-II,Отмена,7/12/2024,7/12/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849442,32,Нескучный сад,Чижик-II,Исторический,C,1721682000,1721682000,16.0,20,4,,,7/23/2024,7/23/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849445,32,Нескучный сад,,Исторический,C,1720818000,1720818000,16.0,20,4,Чижик-II,Отмена,7/13/2024,7/13/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849451,32,Нескучный сад,,Исторический,C,1720904400,1720904400,16.0,20,4,Чижик-II,Отмена,7/14/2024,7/14/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849523,32,Нескучный сад,,Исторический,C,1721682000,1721682000,16.0,20,4,Чижик-II,Отмена,7/23/2024,7/23/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849594,32,Нескучный сад,Чижик-II,Исторический,C,1720990800,1721077200,16.0,20,4,,,7/15/2024,7/16/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849726,32,Нескучный сад,,Исторический,C,1720990800,1720990800,16.0,20,4,Чижик-II,Отмена,7/15/2024,7/15/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849740,32,Нескучный сад,Чижик-II,Исторический,C,1721854800,1721854800,16.0,20,4,,,7/25/2024,7/25/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849812,32,Нескучный сад,,Исторический,C,1721077200,1721077200,16.0,20,4,Чижик-II,Отмена,7/16/2024,7/16/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849818,32,Нескучный сад,,Исторический,C,1721854800,1721854800,16.0,20,4,Чижик-II,Отмена,7/25/2024,7/25/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849824,32,Нескучный сад,Чижик-II,Исторический,C,1723496400,1723928400,16.0,20,4,,,8/13/2024,8/18/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849827,32,Нескучный сад,,Исторический,C,1723496400,1723496400,16.0,20,4,Чижик-II,Отмена,8/13/2024,8/13/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849906,32,Нескучный сад,,Исторический,C,1723582800,1723582800,16.0,20,4,Чижик-II,Отмена,8/14/2024,8/14/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849910,32,Нескучный сад,,Исторический,C,1720040400,1720040400,16.0,20,4,Чижик-II,Отмена,7/4/2024,7/4/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849913,32,Нескучный сад,Чижик-II,Исторический,C,1721941200,1721941200,16.0,20,4,,,7/26/2024,7/26/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849955,32,Нескучный сад,,Исторический,C,1723669200,1723669200,16.0,20,4,Чижик-II,Отмена,8/15/2024,8/15/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849968,32,Нескучный сад,,Исторический,C,1723755600,1723755600,16.0,20,4,Чижик-II,Отмена,8/16/2024,8/16/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849978,32,Нескучный сад,,Исторический,C,1721941200,1721941200,16.0,20,4,Чижик-II,Отмена,7/26/2024,7/26/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849987,32,Нескучный сад,,Исторический,C,1723842000,1723842000,16.0,20,4,Чижик-II,Отмена,8/17/2024,8/17/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
849997,32,Нескучный сад,,Исторический,C,1720213200,1720213200,16.0,20,4,Чижик-II,Отмена,7/6/2024,7/6/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850003,32,Нескучный сад,,Исторический,C,1723928400,1723928400,16.0,20,4,Чижик-II,Отмена,8/18/2024,8/18/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850071,32,Нескучный сад,,Исторический,C,1720299600,1720299600,16.0,20,4,Чижик-II,Отмена,7/7/2024,7/7/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850086,32,Нескучный сад,Чижик-II,Исторический,C,1724101200,1724101200,16.0,20,4,,,8/20/2024,8/20/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850090,32,Нескучный сад,Чижик-II,Исторический,C,1722027600,1722027600,16.0,20,4,,,7/27/2024,7/27/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850097,32,Нескучный сад,,Исторический,C,1724101200,1724101200,16.0,20,4,Чижик-II,Отмена,8/20/2024,8/20/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850141,32,Нескучный сад,Чижик-II,Исторический,C,1724706000,1724706000,16.0,20,4,,,8/27/2024,8/27/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850145,32,Нескучный сад,,Исторический,C,1722027600,1722027600,16.0,20,4,Чижик-II,Отмена,7/27/2024,7/27/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850149,32,Нескучный сад,,Исторический,C,1724706000,1724706000,16.0,20,4,Чижик-II,Отмена,8/27/2024,8/27/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850187,32,Нескучный сад,Чижик-II,Исторический,C,1722114000,1722114000,16.0,20,4,,,7/28/2024,7/28/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850241,32,Нескучный сад,,Исторический,C,1722114000,1722114000,16.0,20,4,Чижик-II,Отмена,7/28/2024,7/28/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850364,32,Нескучный сад,Чижик-II,Исторический,C,1722200400,1722200400,16.0,20,4,,,7/29/2024,7/29/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850433,32,Нескучный сад,,Исторический,C,1722200400,1722200400,16.0,20,4,Чижик-II,Отмена,7/29/2024,7/29/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850436,32,Нескучный сад,Чижик-II,Исторический,C,1722286800,1722286800,16.0,20,4,,,7/30/2024,7/30/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850472,32,Нескучный сад,,Исторический,C,1722286800,1722286800,16.0,20,4,Чижик-II,Отмена,7/30/2024,7/30/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850481,32,Нескучный сад,Чижик-II,Исторический,C,1724187600,1724533200,16.0,20,4,,,8/21/2024,8/25/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850483,32,Нескучный сад,,Исторический,C,1724187600,1724533200,16.0,20,4,Чижик-II,Отмена,8/21/2024,8/25/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850491,32,Нескучный сад,Чижик-II,Исторический,C,1724792400,1725051600,16.0,20,4,,,8/28/2024,8/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
850496,32,Нескучный сад,,Исторический,C,1724792400,1725051600,16.0,20,4,Чижик-II,Отмена,8/28/2024,8/31/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
1096967,32,Нескучный сад,,Исторический,C,1719954000,1719954000,16.0,20,4,Олимпиада,Отмена,7/3/2024,7/3/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,4.96803942291709
844843,45,Воробьевы горы,Олимпиада,Исторический,B,1719435600,1731790800,17.0,27,10,,,6/27/2024,11/17/2024,1900-01-01 00:17:00,12:27:00 AM,37.546826,55.711738,0.0,0.0
1097029,45,Воробьевы горы,Олимпиада,Исторический,B,1719954000,1719954000,17.0,27,10,,,7/3/2024,7/3/2024,1900-01-01 00:17:00,12:27:00 AM,37.546826,55.711738,0.0,0.0
1097033,45,Воробьевы горы,,Исторический,B,1719954000,1719954000,17.0,27,10,Олимпиада,Отмена,7/3/2024,7/3/2024,1900-01-01 00:17:00,12:27:00 AM,37.546826,55.711738,0.0,7.68038482579849
1094162,47,Красный октябрь,М-250,Исторический,A,1719954000,1731790800,19.0,23,4,,,7/3/2024,11/17/2024,1900-01-01 00:19:00,12:23:00 AM,37.610627,55.745129,0.0,0.0
1096892,47,Красный октябрь,,Исторический,A,1719954000,1719954000,19.0,23,4,М-250,Отмена,7/3/2024,7/3/2024,1900-01-01 00:19:00,12:23:00 AM,37.610627,55.745129,0.0,4.931737367470371
1094150,49,Новоспасский,Москва-28,Исторический,B,1719954000,1731790800,29.0,32,3,,,7/3/2024,11/17/2024,1900-01-01 00:29:00,12:32:00 AM,37.653392,55.730281,0.0,0.0
1096886,49,Новоспасский,,Исторический,B,1719954000,1719954000,29.0,32,3,Москва-28,Отмена,7/3/2024,7/3/2024,1900-01-01 00:29:00,12:32:00 AM,37.653392,55.730281,0.0,7.005931218731348
1094270,32,Нескучный сад,Снегири-3,Исторический,C,1719954000,1731790800,31.0,35,4,,,7/3/2024,11/17/2024,1900-01-01 00:31:00,12:35:00 AM,37.590694,55.722427,0.0,0.0
1097841,32,Нескучный сад,,Исторический,C,1719954000,1719954000,31.0,35,4,Снегири-3,Отмена,7/3/2024,7/3/2024,1900-01-01 00:31:00,12:35:00 AM,37.590694,55.722427,0.0,4.96803942291709
1094348,45,Воробьевы горы,Алина Танго,Исторический,B,1719954000,1731790800,32.0,42,10,,,7/3/2024,11/17/2024,1900-01-01 00:32:00,12:42:00 AM,37.546826,55.711738,0.0,0.0
1097043,45,Воробьевы горы,,Исторический,B,1719954000,1719954000,32.0,42,10,Алина Танго,Отмена,7/3/2024,7/3/2024,1900-01-01 00:32:00,12:42:00 AM,37.546826,55.711738,0.0,7.68038482579849
843840,47,Красный октябрь,Чижик-II,Исторический,A,1725138000,1725138000,34.0,38,4,,,9/1/2024,9/1/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
843841,47,Красный октябрь,,Исторический,A,1725224400,1725224400,34.0,38,4,,,9/2/2024,9/2/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
843842,47,Красный октябрь,Чижик-II,Исторический,A,1725310800,1731790800,34.0,38,4,,,9/3/2024,11/17/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
843901,47,Красный октябрь,,Исторический,A,1725310800,1725742800,34.0,38,4,Чижик-II,Отмена,9/3/2024,9/8/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
843974,47,Красный октябрь,,Исторический,A,1725915600,1726347600,34.0,38,4,Чижик-II,Отмена,9/10/2024,9/15/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
844064,47,Красный октябрь,,Исторический,A,1726520400,1726952400,34.0,38,4,Чижик-II,Отмена,9/17/2024,9/22/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
844136,47,Красный октябрь,,Исторический,A,1727125200,1727557200,34.0,38,4,Чижик-II,Отмена,9/24/2024,9/29/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
844208,47,Красный октябрь,,Исторический,A,1727730000,1727989200,34.0,38,4,Чижик-II,Отмена,10/1/2024,10/4/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
844293,47,Красный октябрь,,Исторический,A,1728075600,1728162000,34.0,38,4,Чижик-II,Отмена,10/5/2024,10/6/2024,1900-01-01 00:34:00,12:38:00 AM,37.610627,55.745129,0.0,0.0
