Уникальный ID записи,ID причала,Название причала,Название судна - отсутсвует если отменено,Название маршрута ,Швартовочное место,Дата начала действия записи расписания в UTC,Дата окончания действиязаписи  расписания в UTC,Время подхода судна в минутах от начала суток,Время отхода судна в минутах от начала суток,Время стоянки,Название судна которое было отменено,"Тип записи - пустое знеачение если изменений нет, Отмена - судно отменено",Дата начала действия записи расписания ,Дата окончания действия записи расписания,Причаливание/подход,Отход
1094162,47,Красный октябрь,М-250,Исторический,A,1719954000,1731790800,19,23,4,,,2024-07-03,2024-11-17,12:19:00 AM,12:23:00 AM
1093674,50,Китай-город,Москва-21,Северный 1А,C,1719954000,1731790800,20,30,7,,,2024-07-03,2024-11-17,12:20:00 AM,12:30:00 AM
1094886,46,Киевский,Снегири-1,Северный,A,1719954000,1731790800,20,30,7,,,2024-07-03,2024-11-17,12:20:00 AM,12:30:00 AM
1093218,32,Нескучный сад,Алина Браво,Северный 1А,B,1719954000,1731790800,23,26,3,,,2024-07-03,2024-11-17,12:23:00 AM,12:26:00 AM
1094612,45,Воробьевы горы,Вдохновение,Северный,A,1719954000,1731790800,24,28,4,,,2024-07-03,2024-11-17,12:24:00 AM,12:28:00 AM
864438,44,Кленовый бульвар,Прага,Разовый подход,A,1714510800,1730322000,25,35,10,,,2024-05-01,2024-10-31,12:25:00 AM,12:35:00 AM
862987,32,Нескучный сад,Святогор,Северный 1А,A,1719781200,1731790800,26,30,4,,,2024-07-01,2024-11-17,12:26:00 AM,12:30:00 AM
863534,32,Нескучный сад,,Северный 1А,A,1727643600,1727902800,26,30,4,Святогор,Отмена,2024-09-30,2024-10-03,12:26:00 AM,12:30:00 AM
1094540,50,Китай-город,Москва-24,Северный,B,1719954000,1731790800,28,38,10,,,2024-07-03,2024-11-17,12:28:00 AM,12:38:00 AM
1094150,49,Новоспасский,Москва-28,Исторический,B,1719954000,1731790800,29,32,3,,,2024-07-03,2024-11-17,12:29:00 AM,12:32:00 AM
1093310,45,Воробьевы горы,Алина Прима,Северный 1А,A,1719954000,1731790800,31,35,4,,,2024-07-03,2024-11-17,12:31:00 AM,12:35:00 AM
1094270,32,Нескучный сад,Снегири-3,Исторический,C,1719954000,1731790800,31,35,4,,,2024-07-03,2024-11-17,12:31:00 AM,12:35:00 AM
1094958,32,Нескучный сад,Снегири-2,Северный,B,1719954000,1731790800,31,34,3,,,2024-07-03,2024-11-17,12:31:00 AM,12:34:00 AM
1094348,45,Воробьевы горы,Алина Танго,Исторический,B,1719954000,1731790800,32,42,10,,,2024-07-03,2024-11-17,12:32:00 AM,12:42:00 AM
843842,47,Красный октябрь,Чижик-II,Исторический,A,1725310800,1731790800,34,38,4,,,2024-09-03,2024-11-17,12:34:00 AM,12:38:00 AM
844208,47,Красный октябрь,,Исторический,A,1727730000,1727989200,34,38,4,Чижик-II,Отмена,2024-10-01,2024-10-04,12:34:00 AM,12:38:00 AM
1094512,32,Нескучный сад,Флагман,Северный,A,1719954000,1731790800,34,38,4,,,2024-07-03,2024-11-17,12:34:00 AM,12:38:00 AM
845631,46,Киевский,Прага,Северный,A,1719781200,1731790800,35,45,7,,,2024-07-01,2024-11-17,12:35:00 AM,12:45:00 AM
863896,46,Киевский,,Северный,A,1719781200,1731790800,35,45,7,Прага,Отмена,2024-07-01,2024-11-17,12:35:00 AM,12:45:00 AM
864410,46,Киевский,,Северный,A,1727643600,1727902800,35,38,3,Прага,Отмена,2024-09-30,2024-10-03,12:35:00 AM,12:38:00 AM
1092140,50,Китай-город,Романтика,Северный 1А,C,1719867600,1731790800,35,45,7,,,2024-07-02,2024-11-17,12:35:00 AM,12:45:00 AM
1093236,32,Нескучный сад,Капитан Смолик,Северный 1А,B,1719954000,1731790800,38,41,3,,,2024-07-03,2024-11-17,12:38:00 AM,12:41:00 AM
1092066,45,Воробьевы горы,Фортуна,Северный,A,1719867600,1731790800,39,43,4,,,2024-07-02,2024-11-17,12:39:00 AM,12:43:00 AM
1092126,32,Нескучный сад,Удача,Северный 1А,A,1719867600,1731790800,41,45,4,,,2024-07-02,2024-11-17,12:41:00 AM,12:45:00 AM
1093484,46,Киевский,Михаил Сеспель,Северный 1А,B,1719954000,1731790800,42,52,10,,,2024-07-03,2024-11-17,12:42:00 AM,12:52:00 AM
1094164,49,Новоспасский,М-250,Исторический,B,1719954000,1731790800,44,47,3,,,2024-07-03,2024-11-17,12:44:00 AM,12:47:00 AM
864439,44,Кленовый бульвар,Добрыня,Разовый подход,A,1714510800,1730322000,45,55,10,,,2024-05-01,2024-10-31,12:45:00 AM,12:55:00 AM
844846,32,Нескучный сад,Олимпиада,Исторический,C,1719435600,1731790800,46,50,4,,,2024-06-27,2024-11-17,12:46:00 AM,12:50:00 AM
1093380,45,Воробьевы горы,Рио,Северный 1А,A,1719954000,1731790800,46,50,4,,,2024-07-03,2024-11-17,12:46:00 AM,12:50:00 AM
1094614,32,Нескучный сад,Вдохновение,Северный,B,1719954000,1731790800,46,49,3,,,2024-07-03,2024-11-17,12:46:00 AM,12:49:00 AM
1094266,47,Красный октябрь,Снегири-3,Исторический,A,1719954000,1731790800,49,53,4,,,2024-07-03,2024-11-17,12:49:00 AM,12:53:00 AM
1094930,32,Нескучный сад,Снегири-4,Северный,A,1719954000,1731790800,49,53,4,,,2024-07-03,2024-11-17,12:49:00 AM,12:53:00 AM
1093214,50,Китай-город,Алина Браво,Северный 1А,C,1719954000,1731790800,50,53,3,,,2024-07-03,2024-11-17,12:50:00 AM,12:53:00 AM
1094434,46,Киевский,Москва-46,Северный,A,1719954000,1731790800,50,53,3,,,2024-07-03,2024-11-17,12:50:00 AM,12:53:00 AM
1093312,32,Нескучный сад,Алина Прима,Северный 1А,B,1719954000,1731790800,53,56,3,,,2024-07-03,2024-11-17,12:53:00 AM,12:56:00 AM
1094888,45,Воробьевы горы,Снегири-1,Северный,A,1719954000,1731790800,54,58,4,,,2024-07-03,2024-11-17,12:54:00 AM,12:58:00 AM
1093676,32,Нескучный сад,Москва-21,Северный 1А,A,1719954000,1731790800,56,60,4,,,2024-07-03,2024-11-17,12:56:00 AM,1:00:00 AM
1092094,46,Киевский,Счастье,Северный 1А,B,1719867600,1731790800,57,67,10,,,2024-07-02,2024-11-17,12:57:00 AM,1:07:00 AM
1094962,50,Китай-город,Снегири-2,Северный,B,1719954000,1731790800,58,68,10,,,2024-07-03,2024-11-17,12:58:00 AM,1:08:00 AM
843845,49,Новоспасский,Чижик-II,Исторический,B,1725310800,1731790800,59,62,3,,,2024-09-03,2024-11-17,12:59:00 AM,1:02:00 AM
844211,49,Новоспасский,,Исторический,B,1727730000,1727989200,59,62,3,Чижик-II,Отмена,2024-10-01,2024-10-04,12:59:00 AM,1:02:00 AM
1092068,32,Нескучный сад,Фортуна,Северный,B,1719867600,1731790800,61,64,3,,,2024-07-02,2024-11-17,1:01:00 AM,1:04:00 AM
1094342,32,Нескучный сад,Алина Танго,Исторический,C,1719954000,1731790800,61,65,4,,,2024-07-03,2024-11-17,1:01:00 AM,1:05:00 AM
844849,47,Красный октябрь,Олимпиада,Исторический,A,1719435600,1731790800,64,68,4,,,2024-06-27,2024-11-17,1:04:00 AM,1:08:00 AM
1094542,32,Нескучный сад,Москва-24,Северный,A,1719954000,1731790800,64,68,4,,,2024-07-03,2024-11-17,1:04:00 AM,1:08:00 AM
808817,46,Киевский,Добрыня,Северный,A,1713906000,1731790800,65,68,3,,,2024-04-24,2024-11-17,1:05:00 AM,1:08:00 AM
862587,46,Киевский,,Северный,A,1713906000,1731790800,65,68,3,Добрыня,Отмена,2024-04-24,2024-11-17,1:05:00 AM,1:08:00 AM
1093238,50,Китай-город,Капитан Смолик,Северный 1А,C,1719954000,1731790800,65,68,3,,,2024-07-03,2024-11-17,1:05:00 AM,1:08:00 AM
1093382,32,Нескучный сад,Рио,Северный 1А,B,1719954000,1731790800,68,71,3,,,2024-07-03,2024-11-17,1:08:00 AM,1:11:00 AM
845637,45,Воробьевы горы,Прага,Северный,A,1719781200,1731790800,69,73,4,,,2024-07-01,2024-11-17,1:09:00 AM,1:13:00 AM
863898,45,Воробьевы горы,,Северный,A,1719781200,1731790800,69,73,4,Прага,Отмена,2024-07-01,2024-11-17,1:09:00 AM,1:13:00 AM
1092142,32,Нескучный сад,Романтика,Северный 1А,A,1719867600,1731790800,71,75,4,,,2024-07-02,2024-11-17,1:11:00 AM,1:15:00 AM
862989,46,Киевский,Святогор,Северный 1А,B,1719781200,1731790800,72,82,10,,,2024-07-01,2024-11-17,1:12:00 AM,1:22:00 AM
863537,46,Киевский,,Северный 1А,B,1727643600,1727902800,72,82,10,Святогор,Отмена,2024-09-30,2024-10-03,1:12:00 AM,1:22:00 AM
1094616,50,Китай-город,Вдохновение,Северный,B,1719954000,1731790800,73,83,10,,,2024-07-03,2024-11-17,1:13:00 AM,1:23:00 AM
1094268,49,Новоспасский,Снегири-3,Исторический,B,1719954000,1731790800,74,77,3,,,2024-07-03,2024-11-17,1:14:00 AM,1:17:00 AM
1093486,45,Воробьевы горы,Михаил Сеспель,Северный 1А,A,1719954000,1731790800,76,80,4,,,2024-07-03,2024-11-17,1:16:00 AM,1:20:00 AM
1094890,32,Нескучный сад,Снегири-1,Северный,B,1719954000,1731790800,76,79,3,,,2024-07-03,2024-11-17,1:16:00 AM,1:19:00 AM
1094344,47,Красный октябрь,Алина Танго,Исторический,A,1719954000,1731790800,79,83,4,,,2024-07-03,2024-11-17,1:19:00 AM,1:23:00 AM
1093314,50,Китай-город,Алина Прима,Северный 1А,C,1719954000,1731790800,80,83,3,,,2024-07-03,2024-11-17,1:20:00 AM,1:23:00 AM
1094514,46,Киевский,Флагман,Северный,A,1719954000,1731790800,80,83,3,,,2024-07-03,2024-11-17,1:20:00 AM,1:23:00 AM
1092120,46,Киевский,Удача,Северный 1А,B,1719867600,1731790800,87,97,10,,,2024-07-02,2024-11-17,1:27:00 AM,1:37:00 AM
1092070,50,Китай-город,Фортуна,Северный,B,1719867600,1731790800,88,98,10,,,2024-07-02,2024-11-17,1:28:00 AM,1:38:00 AM
844852,49,Новоспасский,Олимпиада,Исторический,B,1719435600,1731790800,89,92,3,,,2024-06-27,2024-11-17,1:29:00 AM,1:32:00 AM
845640,32,Нескучный сад,Прага,Северный,B,1719781200,1731790800,91,94,3,,,2024-07-01,2024-11-17,1:31:00 AM,1:34:00 AM
863899,32,Нескучный сад,,Северный,B,1719781200,1731790800,91,94,3,Прага,Отмена,2024-07-01,2024-11-17,1:31:00 AM,1:34:00 AM
1092096,45,Воробьевы горы,Счастье,Северный 1А,A,1719867600,1731790800,91,95,4,,,2024-07-02,2024-11-17,1:31:00 AM,1:35:00 AM
1094964,32,Нескучный сад,Снегири-2,Северный,A,1719954000,1731790800,94,98,4,,,2024-07-03,2024-11-17,1:34:00 AM,1:38:00 AM
1093384,50,Китай-город,Рио,Северный 1А,C,1719954000,1731790800,95,98,3,,,2024-07-03,2024-11-17,1:35:00 AM,1:38:00 AM
1094932,46,Киевский,Снегири-4,Северный,A,1719954000,1731790800,95,98,3,,,2024-07-03,2024-11-17,1:35:00 AM,1:38:00 AM
1093488,32,Нескучный сад,Михаил Сеспель,Северный 1А,B,1719954000,1731790800,98,101,3,,,2024-07-03,2024-11-17,1:38:00 AM,1:41:00 AM
1093678,46,Киевский,Москва-21,Северный 1А,B,1719954000,1731790800,102,112,10,,,2024-07-03,2024-11-17,1:42:00 AM,1:52:00 AM
1094884,50,Китай-город,Снегири-1,Северный,B,1719954000,1731790800,103,113,10,,,2024-07-03,2024-11-17,1:43:00 AM,1:53:00 AM
1094346,49,Новоспасский,Алина Танго,Исторический,B,1719954000,1731790800,104,107,3,,,2024-07-03,2024-11-17,1:44:00 AM,1:47:00 AM
862991,45,Воробьевы горы,Святогор,Северный 1А,A,1719781200,1731790800,106,110,4,,,2024-07-01,2024-11-17,1:46:00 AM,1:50:00 AM
863540,45,Воробьевы горы,,Северный 1А,A,1727643600,1727902800,106,110,4,Святогор,Отмена,2024-09-30,2024-10-03,1:46:00 AM,1:50:00 AM
1094618,32,Нескучный сад,Вдохновение,Северный,A,1719954000,1731790800,109,113,4,,,2024-07-03,2024-11-17,1:49:00 AM,1:53:00 AM
1094544,46,Киевский,Москва-24,Северный,A,1719954000,1731790800,110,113,3,,,2024-07-03,2024-11-17,1:50:00 AM,1:53:00 AM
1092102,32,Нескучный сад,Счастье,Северный 1А,B,1719867600,1731790800,113,116,3,,,2024-07-02,2024-11-17,1:53:00 AM,1:56:00 AM
1092144,46,Киевский,Романтика,Северный 1А,B,1719867600,1731790800,117,127,10,,,2024-07-02,2024-11-17,1:57:00 AM,2:07:00 AM
845643,50,Китай-город,Прага,Северный,B,1719781200,1731790800,118,128,10,,,2024-07-01,2024-11-17,1:58:00 AM,2:08:00 AM
863900,50,Китай-город,,Северный,B,1719781200,1731790800,118,128,10,Прага,Отмена,2024-07-01,2024-11-17,1:58:00 AM,2:08:00 AM
1092122,45,Воробьевы горы,Удача,Северный 1А,A,1719867600,1731790800,121,125,4,,,2024-07-02,2024-11-17,2:01:00 AM,2:05:00 AM
1092072,32,Нескучный сад,Фортуна,Северный,A,1719867600,1731790800,124,128,4,,,2024-07-02,2024-11-17,2:04:00 AM,2:08:00 AM
1093482,50,Китай-город,Михаил Сеспель,Северный 1А,C,1719954000,1731790800,125,128,3,,,2024-07-03,2024-11-17,2:05:00 AM,2:08:00 AM
862993,32,Нескучный сад,Святогор,Северный 1А,B,1719781200,1731790800,128,131,3,,,2024-07-01,2024-11-17,2:08:00 AM,2:11:00 AM
863543,32,Нескучный сад,,Северный 1А,B,1727643600,1727902800,128,131,3,Святогор,Отмена,2024-09-30,2024-10-03,2:08:00 AM,2:11:00 AM
1093680,45,Воробьевы горы,Москва-21,Северный 1А,A,1719954000,1731790800,136,140,4,,,2024-07-03,2024-11-17,2:16:00 AM,2:20:00 AM
1094892,32,Нескучный сад,Снегири-1,Северный,A,1719954000,1731790800,139,143,4,,,2024-07-03,2024-11-17,2:19:00 AM,2:23:00 AM
1092100,50,Китай-город,Счастье,Северный 1А,C,1719867600,1731790800,140,143,3,,,2024-07-02,2024-11-17,2:20:00 AM,2:23:00 AM
1094966,46,Киевский,Снегири-2,Северный,A,1719954000,1731790800,140,143,3,,,2024-07-03,2024-11-17,2:20:00 AM,2:23:00 AM
1092116,32,Нескучный сад,Удача,Северный 1А,B,1719867600,1731790800,143,146,3,,,2024-07-02,2024-11-17,2:23:00 AM,2:26:00 AM
1092146,45,Воробьевы горы,Романтика,Северный 1А,A,1719867600,1731790800,151,155,4,,,2024-07-02,2024-11-17,2:31:00 AM,2:35:00 AM
845646,32,Нескучный сад,Прага,Северный,A,1719781200,1731790800,154,158,4,,,2024-07-01,2024-11-17,2:34:00 AM,2:38:00 AM
863901,32,Нескучный сад,,Северный,A,1719781200,1731790800,154,158,4,Прага,Отмена,2024-07-01,2024-11-17,2:34:00 AM,2:38:00 AM
862995,50,Китай-город,Святогор,Северный 1А,C,1719781200,1731790800,155,158,3,,,2024-07-01,2024-11-17,2:35:00 AM,2:38:00 AM
863546,50,Китай-город,,Северный 1А,C,1727643600,1727902800,155,158,3,Святогор,Отмена,2024-09-30,2024-10-03,2:35:00 AM,2:38:00 AM
1094608,46,Киевский,Вдохновение,Северный,A,1719954000,1731790800,155,158,3,,,2024-07-03,2024-11-17,2:35:00 AM,2:38:00 AM
1093682,32,Нескучный сад,Москва-21,Северный 1А,B,1719954000,1731790800,158,161,3,,,2024-07-03,2024-11-17,2:38:00 AM,2:41:00 AM
1092074,46,Киевский,Фортуна,Северный,A,1719867600,1731790800,170,173,3,,,2024-07-02,2024-11-17,2:50:00 AM,2:53:00 AM
1092118,50,Китай-город,Удача,Северный 1А,C,1719867600,1731790800,170,173,3,,,2024-07-02,2024-11-17,2:50:00 AM,2:53:00 AM
1092148,32,Нескучный сад,Романтика,Северный 1А,B,1719867600,1731790800,173,176,3,,,2024-07-02,2024-11-17,2:53:00 AM,2:56:00 AM
1093684,50,Китай-город,Москва-21,Северный 1А,C,1719954000,1731790800,185,188,3,,,2024-07-03,2024-11-17,3:05:00 AM,3:08:00 AM
1094894,46,Киевский,Снегири-1,Северный,A,1719954000,1731790800,185,188,3,,,2024-07-03,2024-11-17,3:05:00 AM,3:08:00 AM
845634,46,Киевский,Прага,Северный,A,1719781200,1731790800,200,203,3,,,2024-07-01,2024-11-17,3:20:00 AM,3:23:00 AM
863897,46,Киевский,,Северный,A,1719781200,1731790800,200,203,3,Прага,Отмена,2024-07-01,2024-11-17,3:20:00 AM,3:23:00 AM
1092150,50,Китай-город,Романтика,Северный 1А,C,1719867600,1731790800,200,203,3,,,2024-07-02,2024-11-17,3:20:00 AM,3:23:00 AM
1093202,50,Китай-город,Алина Браво,Северный 1А,C,1719954000,1731790800,503,510,7,,,2024-07-03,2024-11-17,8:23:00 AM,8:30:00 AM
1094414,46,Киевский,Москва-46,Северный,A,1719954000,1731790800,503,510,7,,,2024-07-03,2024-11-17,8:23:00 AM,8:30:00 AM
1094022,31,Парк Горького,Советский союз,Центральный,C,1719954000,1731790800,508,512,4,,,2024-07-03,2024-11-17,8:28:00 AM,8:32:00 AM
808037,49,Новоспасский,Москва-51,Исторический,B,1713906000,1731790800,512,517,5,,,2024-04-24,2024-11-17,8:32:00 AM,8:37:00 AM
828946,49,Новоспасский,,Исторический,B,1713906000,1731790800,512,517,5,Москва-51,Отмена,2024-04-24,2024-11-17,8:32:00 AM,8:37:00 AM
808836,46,Киевский,Добрыня,Северный,A,1713906000,1731790800,518,525,7,,,2024-04-24,2024-11-17,8:38:00 AM,8:45:00 AM
862583,46,Киевский,,Северный,A,1713906000,1731790800,518,525,7,Добрыня,Отмена,2024-04-24,2024-11-17,8:38:00 AM,8:45:00 AM
1093226,50,Китай-город,Капитан Смолик,Северный 1А,C,1719954000,1731790800,518,525,7,,,2024-07-03,2024-11-17,8:38:00 AM,8:45:00 AM
864686,71,Северный речной вокзал,,СРВ - Захарково,8,1714165200,1731531600,520,540,20,,,2024-04-27,2024-11-14,8:40:00 AM,9:00:00 AM
866328,71,Северный речной вокзал,Москва-1,СРВ - Захарково,8,1714165200,1731531600,520,540,20,,,2024-04-27,2024-11-14,8:40:00 AM,9:00:00 AM
867506,71,Северный речной вокзал,850 лет Москве,СРВ - Химки,7,1714165200,1731531600,520,540,20,,,2024-04-27,2024-11-14,8:40:00 AM,9:00:00 AM
878038,31,Парк Горького,М-88,Центральный,C,1714251600,1731790800,523,527,4,,,2024-04-28,2024-11-17,8:43:00 AM,8:47:00 AM
880754,31,Парк Горького,,Центральный,C,1714251600,1731790800,523,527,4,М-88,Отмена,2024-04-28,2024-11-17,8:43:00 AM,8:47:00 AM
1094114,49,Новоспасский,Адмиралъ,Исторический,B,1719954000,1731790800,527,532,5,,,2024-07-03,2024-11-17,8:47:00 AM,8:52:00 AM
808038,50,Китай-город,Москва-51,Исторический,A,1713906000,1731790800,530,540,10,,,2024-04-24,2024-11-17,8:50:00 AM,9:00:00 AM
828947,50,Китай-город,,Исторический,A,1713906000,1731790800,530,540,10,Москва-51,Отмена,2024-04-24,2024-11-17,8:50:00 AM,9:00:00 AM
1093298,50,Китай-город,Алина Прима,Северный 1А,C,1719954000,1731790800,533,540,7,,,2024-07-03,2024-11-17,8:53:00 AM,9:00:00 AM
1094494,46,Киевский,Флагман,Северный,A,1719954000,1731790800,533,540,7,,,2024-07-03,2024-11-17,8:53:00 AM,9:00:00 AM
1094416,45,Воробьевы горы,Москва-46,Северный,A,1719954000,1731790800,534,538,4,,,2024-07-03,2024-11-17,8:54:00 AM,8:58:00 AM
1094024,73,Зарядье,Советский союз,Центральный,B,1719954000,1731790800,535,545,10,,,2024-07-03,2024-11-17,8:55:00 AM,9:05:00 AM
1093204,32,Нескучный сад,Алина Браво,Северный 1А,A,1719954000,1731790800,536,540,4,,,2024-07-03,2024-11-17,8:56:00 AM,9:00:00 AM
889615,31,Парк Горького,Лагуна,Центральный,C,1714597200,1731790800,538,542,4,,,2024-05-02,2024-11-17,8:58:00 AM,9:02:00 AM
893842,31,Парк Горького,,Центральный,C,1714597200,1731790800,538,542,4,Лагуна,Отмена,2024-05-02,2024-11-17,8:58:00 AM,9:02:00 AM
864436,44,Кленовый бульвар,Святогор,Разовый подход,A,1714510800,1730322000,540,545,5,,,2024-05-01,2024-10-31,9:00:00 AM,9:05:00 AM
828952,49,Новоспасский,,Исторический,B,1713906000,1731790800,542,547,5,,,2024-04-24,2024-11-17,9:02:00 AM,9:07:00 AM
1003117,49,Новоспасский,,Исторический,B,1717448400,1731790800,542,547,5,,,2024-06-04,2024-11-17,9:02:00 AM,9:07:00 AM
864437,44,Кленовый бульвар,Добрыня,Разовый подход,A,1714510800,1730322000,545,555,10,,,2024-05-01,2024-10-31,9:05:00 AM,9:15:00 AM
1094116,50,Китай-город,Адмиралъ,Исторический,A,1719954000,1731790800,545,555,10,,,2024-07-03,2024-11-17,9:05:00 AM,9:15:00 AM
1093370,50,Китай-город,Рио,Северный 1А,C,1719954000,1731790800,548,555,7,,,2024-07-03,2024-11-17,9:08:00 AM,9:15:00 AM
1094904,46,Киевский,Снегири-4,Северный,A,1719954000,1731790800,548,555,7,,,2024-07-03,2024-11-17,9:08:00 AM,9:15:00 AM
808840,45,Воробьевы горы,Добрыня,Северный,A,1713906000,1731790800,549,553,4,,,2024-04-24,2024-11-17,9:09:00 AM,9:13:00 AM
862584,45,Воробьевы горы,,Северный,A,1713906000,1731790800,549,553,4,Добрыня,Отмена,2024-04-24,2024-11-17,9:09:00 AM,9:13:00 AM
864687,61,Захарково,,СРВ - Захарково,A,1714165200,1731531600,550,570,20,,,2024-04-27,2024-11-14,9:10:00 AM,9:30:00 AM
866329,61,Захарково,Москва-1,СРВ - Захарково,A,1714165200,1731531600,550,570,20,,,2024-04-27,2024-11-14,9:10:00 AM,9:30:00 AM
1094038,73,Зарядье,М-88,Центральный,B,1719954000,1731790800,550,560,10,,,2024-07-03,2024-11-17,9:10:00 AM,9:20:00 AM
1093228,32,Нескучный сад,Капитан Смолик,Северный 1А,A,1719954000,1731790800,551,555,4,,,2024-07-03,2024-11-17,9:11:00 AM,9:15:00 AM
1094086,31,Парк Горького,Юнга,Центральный,C,1719954000,1731790800,553,557,4,,,2024-07-03,2024-11-17,9:13:00 AM,9:17:00 AM
1094028,51,Патриарший,Советский союз,Центральный,A,1719954000,1731790800,556,561,5,,,2024-07-03,2024-11-17,9:16:00 AM,9:21:00 AM
1094418,32,Нескучный сад,Москва-46,Северный,B,1719954000,1731790800,556,559,3,,,2024-07-03,2024-11-17,9:16:00 AM,9:19:00 AM
1094138,49,Новоспасский,Полковник Новгородов,Исторический,B,1719954000,1731790800,557,562,5,,,2024-07-03,2024-11-17,9:17:00 AM,9:22:00 AM
828953,50,Китай-город,,Исторический,A,1713906000,1731790800,560,570,10,,,2024-04-24,2024-11-17,9:20:00 AM,9:30:00 AM
1003120,50,Китай-город,,Исторический,A,1717448400,1731790800,560,570,10,,,2024-06-04,2024-11-17,9:20:00 AM,9:30:00 AM
1093760,57,Троице-Лыково,Будь готов,Серебряный бор,A,1719954000,1731790800,563,570,7,,,2024-07-03,2024-11-17,9:23:00 AM,9:30:00 AM
1094520,46,Киевский,Москва-24,Северный,A,1719954000,1731790800,563,570,7,,,2024-07-03,2024-11-17,9:23:00 AM,9:30:00 AM
1094496,45,Воробьевы горы,Флагман,Северный,A,1719954000,1731790800,564,568,4,,,2024-07-03,2024-11-17,9:24:00 AM,9:28:00 AM
1094046,73,Зарядье,Лагуна,Центральный,B,1719954000,1731790800,565,575,10,,,2024-07-03,2024-11-17,9:25:00 AM,9:35:00 AM
1093300,32,Нескучный сад,Алина Прима,Северный 1А,A,1719954000,1731790800,566,570,4,,,2024-07-03,2024-11-17,9:26:00 AM,9:30:00 AM
1091266,31,Парк Горького,Лоцман,Центральный,C,1719867600,1731790800,568,572,4,,,2024-07-02,2024-11-17,9:28:00 AM,9:32:00 AM
